control_id,pattern,function,nist_reference,action,lifecycle_stage,owner_role,required_artifacts
CA-GOV-01,"AI-Powered Code Assistant (e.g., GitHub Copilot, Cursor, internal tools)",Govern,AI 600-1 Section 3.1.1,"Define code assistant acceptable use policy (permitted languages, repositories, IP restrictions)",design,Legal / CISO,Code assistant AUP; Legal review sign-off
CA-GOV-02,"AI-Powered Code Assistant (e.g., GitHub Copilot, Cursor, internal tools)",Govern,AI 600-1 Section 3.1.2,"Designate responsible party for code assistant security (monitoring, incidents)",design,Engineering Manager,RACI matrix; Escalation contacts
CA-GOV-03,"AI-Powered Code Assistant (e.g., GitHub Copilot, Cursor, internal tools)",Govern,AI 600-1 Section 2.8 (Value Chain),"Review vendor contracts for data usage, retention, and IP ownership",design,Procurement / Legal,Vendor contract with data processing addendum; Privacy impact assessment
CA-MAP-01,"AI-Powered Code Assistant (e.g., GitHub Copilot, Cursor, internal tools)",Map,AI 600-1 Section 3.2.1,Inventory which repositories/codebases are accessible to code assistant,design,DevOps / Security,Repo access list; Data classification labels (public/internal/confidential)
CA-MAP-02,"AI-Powered Code Assistant (e.g., GitHub Copilot, Cursor, internal tools)",Map,AI 600-1 Section 2.3 (Data Privacy),"Identify secrets/credentials in accessible codebases (API keys, passwords)",design,Security Team,"Secret scanning report (e.g., TruffleHog, GitGuardian); Remediation plan"
CA-MAP-03,"AI-Powered Code Assistant (e.g., GitHub Copilot, Cursor, internal tools)",Map,AI 600-1 Section 2.7 (Information Integrity),"Map risk of code assistant suggesting vulnerable patterns (SQL injection, XSS)",design,AppSec Team,Threat model for code generation (see /docs/threat-model.md); OWASP Top 10 crosswalk
CA-MAP-04,"AI-Powered Code Assistant (e.g., GitHub Copilot, Cursor, internal tools)",Map,AI 600-1 Section 2.8 (Value Chain),Assess risk of code assistant generating copyleft or GPL code,design,Legal / Open Source Program Office,License compliance policy; Legal guidance on AI-generated code
CA-MEAS-01,"AI-Powered Code Assistant (e.g., GitHub Copilot, Cursor, internal tools)",Measure,AI 600-1 Section 3.3.1,"Establish baseline code quality metrics (bug rate, security vulnerabilities)",development,QA / AppSec,Pre-deployment SAST scan results; Defect density metrics
CA-MEAS-02,"AI-Powered Code Assistant (e.g., GitHub Copilot, Cursor, internal tools)",Measure,AI 600-1 Section 2.7 (Information Integrity),Scan code assistant suggestions for known vulnerabilities (SAST on AI-generated code),development,AppSec,"SAST integration (e.g., Semgrep, CodeQL); Weekly scan reports"
CA-MEAS-03,"AI-Powered Code Assistant (e.g., GitHub Copilot, Cursor, internal tools)",Measure,AI 600-1 Section 2.8 (Value Chain),Detect license-incompatible code in AI suggestions,development,Legal / DevOps,"License scanner (e.g., FOSSA, Black Duck); Violation reports"
CA-MEAS-04,"AI-Powered Code Assistant (e.g., GitHub Copilot, Cursor, internal tools)",Measure,AI 600-1 Section 3.3.2,Monitor secret leakage in AI-generated code,development,Security Team,"Secret detection in CI (pre-commit hooks, GitHub Advanced Security); Incident logs"
CA-MEAS-05,"AI-Powered Code Assistant (e.g., GitHub Copilot, Cursor, internal tools)",Measure,AI 600-1 Section 3.3.3,"Red-team code assistant for adversarial prompt injection (e.g., 'generate backdoor')",development,Security Researcher,Red team report with attack transcripts; Remediation plan
CA-MGT-01,"AI-Powered Code Assistant (e.g., GitHub Copilot, Cursor, internal tools)",Manage,AI 600-1 Section 3.4.1,Require human code review for all AI-generated code,development,Engineering Manager,Code review policy update; Training for reviewers on AI-specific risks
CA-MGT-02,"AI-Powered Code Assistant (e.g., GitHub Copilot, Cursor, internal tools)",Manage,AI 600-1 Section 3.4.2,Enable audit logging for all code assistant interactions,deployment,DevOps,"Logging configuration (user, timestamp, prompt, suggestion); Log retention policy (90 days minimum)"
CA-MGT-03,"AI-Powered Code Assistant (e.g., GitHub Copilot, Cursor, internal tools)",Manage,AI 600-1 Section 3.4.3,"Deploy pre-commit hooks to block secrets, vulnerabilities, license violations",deployment,DevOps,"Pre-commit config (e.g., detect-secrets, Semgrep, FOSSA); Developer onboarding docs"
CA-MGT-04,"AI-Powered Code Assistant (e.g., GitHub Copilot, Cursor, internal tools)",Manage,AI 600-1 Section 3.4.4,"Establish incident response plan for code assistant security events (secret leak, vuln introduction)",deployment,Security Team,Code assistant incident runbook; Tabletop exercise report
CA-MGT-05,"AI-Powered Code Assistant (e.g., GitHub Copilot, Cursor, internal tools)",Manage,AI 600-1 Section 3.4.5,Monitor code assistant adoption and flag high-risk usage patterns,monitoring,Engineering Analytics,"Usage dashboard (suggestions/day, acceptance rate by repo); Anomaly detection rules (e.g., 100% acceptance rate = insufficient review)"
CA-MGT-06,"AI-Powered Code Assistant (e.g., GitHub Copilot, Cursor, internal tools)",Manage,AI 600-1 Section 3.4.6,Provide developer training on secure use of code assistants,deployment,Security Awareness Team,"Training module (security risks, license review, human oversight); Completion certificates"
